                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.48514,                 0.2778,                0.85302,                0.99841,                      1,                  0.995,                0.90698,                0.48743,                0.25417,                0.82983,              0.0007459,              0.0007459,              0.0007459
                     80,                0.49011,                0.28192,                0.86084,                 0.9977,                      1,                  0.995,                 0.9112,                 0.4597,                0.23705,                0.82467,              0.0007426,              0.0007426,              0.0007426
                     81,                0.48989,                0.28238,                0.86575,                0.99813,                      1,                  0.995,                 0.8843,                0.53978,                0.24693,                0.83926,              0.0007393,              0.0007393,              0.0007393
                     82,                0.49802,                0.28575,                0.85251,                0.99653,                      1,                  0.995,                0.89716,                 0.4756,                0.24924,                0.80915,               0.000736,               0.000736,               0.000736
                     83,                0.49998,                0.29571,                0.86554,                0.99774,                      1,                  0.995,                 0.9103,                0.47946,                0.25876,                0.81674,              0.0007327,              0.0007327,              0.0007327
                     84,                0.48315,                 0.2861,                0.86402,                 0.9906,                0.97469,                0.99451,                0.88801,                0.53488,                0.27844,                0.82648,              0.0007294,              0.0007294,              0.0007294
                     85,                0.48652,                0.27898,                0.85788,                0.99538,                0.99333,                0.99389,                0.90453,                 0.4859,                0.25727,                0.82316,              0.0007261,              0.0007261,              0.0007261
                     86,                0.48496,                0.28021,                0.86108,                0.99384,                0.99803,                  0.995,                 0.8986,                0.50824,                0.28737,                0.83053,              0.0007228,              0.0007228,              0.0007228
                     87,                0.49808,                0.29059,                0.85699,                0.99507,                      1,                  0.995,                0.89492,                0.50913,                0.26944,                0.82154,              0.0007195,              0.0007195,              0.0007195
                     88,                0.49844,                0.28591,                0.85774,                0.94789,                      1,                0.99474,                0.90421,                0.48783,                0.30761,                0.82764,              0.0007162,              0.0007162,              0.0007162
                     89,                0.50747,                0.29957,                0.85958,                0.99584,                      1,                  0.995,                0.90814,                0.46469,                0.25645,                0.81905,              0.0007129,              0.0007129,              0.0007129
                     90,                0.49419,                0.28546,                0.86029,                0.99616,                      1,                  0.995,                0.91196,                0.47244,                0.24889,                0.81706,              0.0007096,              0.0007096,              0.0007096
                     91,                0.48985,                0.27534,                0.85254,                0.99692,                      1,                  0.995,                 0.9036,                0.47107,                0.24502,                0.82262,              0.0007063,              0.0007063,              0.0007063
                     92,                0.49344,                 0.2843,                0.86053,                0.99614,                      1,                  0.995,                0.89383,                0.51183,                0.25647,                0.83059,               0.000703,               0.000703,               0.000703
                     93,                0.48488,                0.27932,                 0.8564,                0.99795,                      1,                  0.995,                0.92109,                 0.4462,                0.23955,                0.81554,              0.0006997,              0.0006997,              0.0006997
                     94,                0.48539,                0.27126,                0.85319,                0.99899,                      1,                  0.995,                0.92544,                 0.4395,                 0.2161,                0.80693,              0.0006964,              0.0006964,              0.0006964
                     95,                0.48168,                   0.27,                0.85776,                 0.9996,                      1,                  0.995,                0.91294,                0.45966,                0.21726,                0.81858,              0.0006931,              0.0006931,              0.0006931
                     96,                0.47446,                0.26531,                0.85174,                0.99844,                      1,                  0.995,                0.91549,                0.47241,                0.22796,                0.81966,              0.0006898,              0.0006898,              0.0006898
                     97,                0.47829,                0.26823,                0.85424,                0.99792,                      1,                  0.995,                0.91876,                0.45422,                  0.223,                0.80601,              0.0006865,              0.0006865,              0.0006865
                     98,                 0.4677,                 0.2637,                0.85455,                0.99708,                      1,                  0.995,                0.92112,                0.43253,                0.22569,                0.80413,              0.0006832,              0.0006832,              0.0006832
                     99,                0.46667,                0.26053,                0.85162,                0.99823,                      1,                  0.995,                0.91474,                0.45384,                 0.2179,                0.81203,              0.0006799,              0.0006799,              0.0006799
